balance,row
-1.5023353321258064,4236
-0.14457116005977966,4264
0.7798952481539096,4293
-3.1728850520437213,4327
-0.09258534720758549,4340
-3.0712225266205277,4368
-6.30432485503415,4371
-4.697426644427478,4382
-3.615644493470694,4426
-2.1549059722756683,4434
0.5037350909248941,4458
-4.799479581966094,4462
-2.860207632584843,4477
-0.05787603831720123,4493
-3.4529810970471404,4510
-2.375792576211933,4519
-1.4774557508916333,4545
2.6578141517067477,4571
3.818603311789719,4587
6.891064202979823,4597
7.769311355376008,4618
4.940024412152926,4626
6.221294727940236,4636
3.362572466232894,4648
1.5320131137631172,4677
-0.26795981897474164,4695
-2.0439916879578237,4729
-1.03183172872502,4751
2.1875779304954683,4758
-1.393346163494794,4767
-4.814054531148269,4783
-9.90950619480149,4796
-8.504865024251057,4838
-11.425437060196568,4845
-14.017897519228551,4851
-13.05987054892783,4864
-16.77666906397624,4874
-12.872891277516867,4884
-15.96781530897908,4899
-18.657573907982506,4907
-16.58560246877274,4928
-15.07232020363407,4949
-16.617148438485593,4959
-18.68102701717539,4966
-21.063022543727847,4989
-19.71331690449488,5016
-18.503273524041994,5022
-17.381578190967954,5040
-20.747386867096576,5077
-19.460548751254006,5079
-21.46867502098364,5102
-20.26372787718975,5115
-19.133105786878957,5139
-27.374691807331107,5161
-26.19239584604411,5185
-29.2546633140518,5191
-32.39840237781132,5215
-36.002181856180826,5220
-34.14750664067424,5239
-33.24942142613166,5263
-38.1239547657659,5300
-37.280768989943354,5302
-36.273901569675836,5310
-33.99467084353178,5337
-36.166751658423294,5352
-38.421137832156234,5375
-37.46266978441745,5384
-34.59510204075382,5403
-33.729218571443944,5424
-37.02239126220697,5449
-35.25146180865436,5459
-39.43699442417897,5463
-42.597755216539475,5487
-40.50412157190786,5495
-39.31669610315389,5522
-38.43060815774069,5527
-43.55684779746663,5543
-42.66164449671061,5554
-36.86327221527067,5571
-28.918616535928507,5589
-26.549391513756603,5599
-22.60575123041812,5608
-29.709684800854518,5618
-25.48625343505798,5638
-29.053438849493947,5662
-27.63543111296342,5672
-31.603314725370783,5677
